0,"['Balázs', 'C.', '']",Monash University (Australia)
0,"['Berger', 'E. L.', '']",Argonne National Laboratory
0,"['Nadolsky', 'P. M.', '']",Southern Methodist University
0,"['Yuan', 'C. -P.', '']",Michigan State University
1,"['Streinu', 'Ileana', '']",Smith College
1,"['Theran', 'Louis', '']",University of St Andrews
2,"['Pan', 'Hongjun', '']",University of North Texas
3,"['Callan', 'David', '']",University of Wisconsin–Madison
4,"['Abu-Shammala', 'Wael', '']",Indiana University Bloomington
4,"['Torchinsky', 'Alberto', '']",Indiana University Bloomington
5,"['Pong', 'Y. H.', '']",CitiGroup
5,"['Law', 'C. K.', '']",The Chinese University of Hong Kong
6,"['Corichi', 'Alejandro', '']",Universidad Nacional Autónoma de México
6,"['Vukasinac', 'Tatjana', '']",Universidad Michoacana de San Nicolás de Hidalgo
6,"['Zapata', 'Jose A.', '']",Universidad Nacional Autónoma de México
7,"['Swift', 'Damian C.', '']",Lawrence Livermore National Laboratory
8,"['Harvey', 'Paul', '']",University of Texas at Austin
8,"['Merin', 'Bruno', '']",European Space Agency
8,"['Huard', 'Tracy L.', '']",Columbia University
9,"['Ovchinnikov', 'Sergei', '']",San Francisco State University
10,"['Cunningham', 'Clifton', '']",The University of Calgary
10,"['Dembele', 'Lassina', '']",Dartmouth College
11,"['Choi', 'Dohoon', '']",Korea University
12,"['Choie', 'YoungJu', '']",Pohang University of Science and Technology
13,"['Fujii', 'Koichi', '']",University of Tsukuba
14,"['Stahn', 'Christian', '']",
15,"['Chang', 'Chao-Hsi', '']",Chinese Academy of Sciences
16,"['Mhlahlo', 'Nceba', '']",University of the Witwatersrand
16,"['Buckley', 'David H.', '']",South African Astronomical Observatory
16,"['Dhillon', 'Vikram S.', '']",
16,"['Potter', 'Steven B.', '']",South African Astronomical Observatory
16,"['Warner', 'Brian', '']",
17,"['Gustavsson', 'Andreas', '']",University of Seoul
18,"['Konno', 'Norio', '']",Yokohama National University
20,"['Casagrande', 'Vanessa', '']",Bernstein Center for Computational Neuroscience Berlin
20,"['Togashi', 'Yuichi', '']",Hiroshima University
20,"['Mikhailov', 'Alexander S.', '']",Kanazawa University
21,"['Malham', 'Simon J. A.', '']",Heriot-Watt University
21,"['Wiese', 'Anke', '']",Heriot-Watt University
22,"['Loukitcheva', 'M. A.', '']",Max Planck Institute for Solar System Research
22,"['Solanki', 'S. K.', '']",Max Planck Institute for Solar System Research
22,"['White', 'S.', '']",United States Air Force
23,"['Serga', 'A. A.', '']",Technische Universität Kaiserslautern
23,"['Kostylev', 'M.', '']",Western Washington University
23,"['Hillebrands', 'B.', '']",Technische Universität Kaiserslautern
24,"['Mishchenko', 'A. S.', '', '1 and 2']",RIKEN
24,"['Nagaosa', 'N.', '', '1 and 3']",The University of Tokyo
25,"['de Marrais', 'Robert P. C.', '']",
26,"['Goerbig', 'M. O.', '']",Université Paris-Saclay
26,"['Fuchs', 'J. -N.', '']",French National Centre for Scientific Research
26,"['Kechedzhi', 'K.', '']","University of Maryland, College Park"
26,"[""Fal'ko"", 'Vladimir I.', '']",Lancaster University
27,"['Frenkel', 'Péter E.', '']",Eötvös Loránd University
28,"['Shu', 'Zhan', '']",University of Delaware
28,"['Chen', 'Xiao-Lin', '']",Capital University of Integrative Medicine
28,"['Deng', 'Wei-Zhen', '']",Peking University
29,"['Hague', 'J. P.', '']",The Open University (UK)
29,"[""d'Ambrumenil"", 'N.', '']",The University of Warwick
30,"['Biryukov', 'V. M.', '', 'Serpukhov, IHEP']",Institute of High Energy Physics
31,"['Esteban-Pretel', 'A.', '']",Instituto de Física Corpuscular
31,"['Tomàs', 'R.', '']",DNVGL
31,"['Valle', 'J. W. F.', '']",Spanish National Research Council
32,"['Yurkin', 'Maxim A.', '']",Russian Academy of Sciences
